Quarter,SampleCount,QuarterName,SamplePct
1,51984,Q1 (Jan-Mar),21.035848835186002
2,69197,Q2 (Apr-Jun),28.001262539403776
3,71783,Q3 (Jul-Sep),29.047713468300955
4,54157,Q4 (Oct-Dec),21.91517515710927
