VmvCode,VariableName,UnitCode,RecordsWithThisUnit,StationCount,ProjectCount
6107,CARBON DISSOLVED ORGANIC (DOC),mg/L,4474,173,25
6107,CARBON DISSOLVED ORGANIC (DOC),ug/L,16,4,3
