name,count,missing,missing_pct,mean,median,std,min,25%,75%,max,skewness,kurtosis
StationTypeCode,247121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
LatitudeDecimalDegrees,247121,0,0.0,52.15212387356801,52.05167,2.113365996619734,49.02673,50.3531,53.36883,58.44722,0.7672781265711417,0.32102917002197495
LongitudeDecimalDegrees,247121,0,0.0,-113.84239407634315,-113.8175,1.9590060147302468,-119.99028,-114.83731,-112.84547,-110.02972,-0.42834755260539586,0.2748449188523696
SampleMatrixCode,247121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SampleTypeCode,247121,0,0.0,2.0082145993258362,1.0,3.4735772060221817,1.0,1.0,1.0,14.0,3.159697524072997,7.990438839785547
CollectionCode,247070,51,0.020637663330918862,24.733953940178896,16.0,30.02481480353075,16.0,16.0,16.0,128.0,3.146908508184935,7.903370939694112
VmvCode,247121,0,0.0,45239.46251431485,12111.0,47146.265442090094,14.0,2007.0,100924.0,109225.0,0.33503158625647916,-1.8133131702519798
VariableCode,247121,0,0.0,1353.7132093185119,641.0,1384.1800375594785,364.0,532.0,867.0,5443.0,1.4268895447235679,0.4353072134838869
SampleDetectLimit,150214,96907,39.21439294920302,1.1178474017068982,0.3,2.5075663017758725,0.0001,0.05,1.0,130.0,5.197604787461822,87.96005340636957
MethodCode,247121,0,0.0,1582.6062010108408,1516.0,1277.684208177018,4.0,430.0,2732.0,4407.0,0.32894019102296457,-1.4022783202912212
MethodDetectionLimit,164463,82658,33.44839167857042,0.6032365468220816,0.05,1.644322999899507,0.0,0.003,0.5,10.0,5.136899263279215,26.424609209616563
LabCode,247121,0,0.0,41.887472129038,23.0,27.003059880281025,10.0,23.0,80.0,106.0,0.8099126395301675,-1.1511871651568564
